,직종코드,직종명,상위단계 직종코드
304,155200,가스·에너지 시험원,02A
305,155300,환경공학 기술자 및 연구원,02A
306,155301,대기 환경 기술자 및 연구원,02A
307,155302,수질 환경 기술자 및 연구원,02A
308,155303,폐기물처리 기술자 및 연구원,02A
309,155304,환경영향 평가원,02A
310,155305,"소음진동, 토양 등 기타 환경 기술자 및 연구원",02A
311,155400,환경공학 시험원,02A
312,155500,보건위생·환경 검사원,02A
313,156100,섬유공학 기술자 및 연구원,02B
314,156200,섬유공학 시험원(섬유·염료),02B
315,157100,식품공학 기술자 및 연구원,02B
316,157200,식품공학 시험원,02B
317,158100,방재 기술자 및 연구원,02B
318,158200,소방공학 기술자 및 연구원,02B
319,158201,소방설계 기술자,02B
320,158202,소방시설·설비 시공 기술자,02B
321,158203,소방공사 감리 기술자,02B
322,158300,소방공학 시험원,02B
323,158400,산업 안전원 및 위험물 관리원,02B
324,158500,비파괴 검사원,02B
325,159100,제도사,02C
326,159101,건축 제도사(캐드원),02C
327,159102,토목 제도사(캐드원),02C
328,159103,기계·금속 제도사(캐드원),02C
329,159104,전기·전자 장비 제도사(캐드원),02C
330,159105,3D 프린팅 제도사,02C
331,159106,기타 제도사(캐드원),02C
332,159900,기타 인쇄·목재 등 공학 기술자 및 시험원,02C
333,211100,대학 교수,031
334,211200,"대학 시간강사(초빙,겸임,BK,강의전담 교수 등 비전임교원 포함)",031
335,212100,중·고등학교 교사,031
336,212101,국어 교사,031
337,212102,수학 교사,031
338,212103,사회 교사,031
339,212104,과학 교사,031
340,212105,예체능 교사,031
341,212106,실업 교사,031
342,212107,외국어 교사,031
343,212108,진로·교양·기타 교사,031
344,212109,기타 중·고등학교 교사,031
345,212200,초등학교 교사,031
346,212300,특수교육 교사,031
347,212900,기타 교사,031
348,213000,유치원 교사,031
349,232100,보육 교사,031
350,214100,문리·어학 강사,032
351,214101,국어 강사,032
352,214102,수학 강사,032
353,214103,사회 강사,032
354,214104,과학 강사,032
355,214105,성인고시·입사시험 학원 강사,032
356,214106,영어 강사,032
357,214107,중국어 강사,032
358,214108,일본어 강사,032
359,214109,한국어 강사(다문화 언어지도사 포함),032
360,214110,그 외 외국어 강사,032
361,214111,독서·논술 강사,032
362,214113,그 외 문리·어학 강사,032
363,214200,컴퓨터 강사,033
364,214201,"컴퓨터 기초 강사(OA, 워드, 엑셀, 컴퓨터활용능력 등)",033
365,214202,프로그래밍·웹·웹디자인·DB 강사,033
366,214301,"간호조무사, 간병, 관광안내 강사",033
367,214302,디자인·캐드 강사,033
368,214303,이미용·예식 강사,033
369,214304,요리 강사,033
370,214305,자동차운전강사,033
371,214306,건설토목강사,033
372,214307,기계·금속·전기·전자 강사,033
373,214308,기타 기술·기능 강사,033
374,214400,예능 강사,034
375,214401,미술 강사,034
376,214402,음악 강사,034
377,214403,무용 강사,034
378,214404,기타 예능 강사(바둑·웅변·연기·꽃꽂이·종이접기 등),034
379,214900,"교육연수기관 및 기업체내 강사(리더십, 서비스마인드 등)",034
380,420401,태권도·검도·합기도 등 무술사범,034
381,420402,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사,034
382,215100,장학관·연구관 및 교육 전문가,035
383,215101,장학관·연구관·입학사정관,035
384,215102,교재·교구 및 e-learning 교육 전문가,035
385,215200,대학 교육 조교(TA) 및 연구 조교(RA),035
386,215300,교사보조 및 보육보조 서비스 종사원,035
387,215301,교사 보조원,035
388,215302,보육시설 서비스 종사원,035
389,221100,판사 및 검사,036
390,221200,변호사,036
391,221300,법무사 및 집행관,036
392,221400,변리사,036
393,221900,외국 변호사 등 기타 법률 전문가,036
394,222000,법률 사무원,036
395,222001,"법률 사무원(법원, 로펌, 법무사무소 등)",036
396,222002,특허·저작권 사무원,036
